NDM@IC6@SIO4@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.11
NDM@IC3@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.12
NDM@IC2@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΛΕΒΗΤΟΣΤΑΣΙΟ
NDM@IC7@SIO8@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.4 1ος ΚΤ-6
NDM@IC6@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.7
NDM@IC8@SIO4@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 7.1 2ος ΚΤ-2K
NDM@IC1@SIO6@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.3 Β' ΙΣ. ΚΤ-1
NDM@IC4@SIO2@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-4
NDM@IC6@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.5
NDM@IC4@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.2
NDM@IC5@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R4.8
NDM@IC1@SIO4@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.3 1ος ΚΤ-1
BIB@R2	OUT	ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ, ΕΞΟΔΟΣ, R2a
NDM@IC7@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.24
NDM@IC5@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.10
NDM@IC4@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 2ος ΚΤ-4
NDM@IC3@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.2
NDM@IC2@SIO4@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 6.1 1ος ΚΤ-2
NDM@IC7@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 1ος ΚΤ-6
NDM@IC3@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R3.3
NDM@IC6@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.6
NDM@IC5@SIO8@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 7.3 2ος ΚΤ-4
NDM@IC6@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΠΑΓΟΛΕΚΑΝΕΣ
NDM@IC7@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.8
NDM@IC2@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ Ρ4.2
NDM@IC1@SIO3@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 7.2 2ος ΚΤ-1
NDM@IC6@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΝΕΜΙΣΤΗΡΕΣ R1.8
NDM@IC3@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.3
NDM@IC5@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.12
NDM@IC4@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ
NDM@IC8@SIO6@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 6.4 1ος ΚΤ-6
NDM@IC7@SIO7@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.4 Β'ΙΣ ΚΤ-6
KIS@R2	OUT	ΚΕΝΤΡΟ ΙΣΤΟΡΙΑΣ, ΕΙΣΟΔΟΣ, R2a
NDM@IC8@SIO3@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 7.2 2ος  ΚΤ-1
NDM@IC8@SIO1@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.1 Β'ΙΣ. ΚΤ-2
NDM@IC3@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.3
NDM@IC1@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ Α' ΙΣ. ΚΤ-1
NDM@IC5@SIO7@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 8.2 3ος ΚΤ-4
NDM@IC4@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΛΙΜΑΤΙΣΜΟΣ R3.7
NDM@IC1@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ Β' ΙΣ. ΚΤ-1
NDM@IC6@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.9
NDM@IC7@SIO4@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΟΥΖΙΝΑ R3.25
NDM@IC8@SIO3@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 6.3 1ος ΚΤ-1
NDM@IC8@SIO2@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 8.3 3ος ΚΤ-1
NDM@IC1@SIO7@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ Α' ΥΠ ΚΤ-1
NDM@IC7@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΟΥΖΙΝΑ R3.23
NDM@IC3@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.16
NDM@NEROU	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, R1a
NDM@IC8@SIO6@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.4 Β'ΙΣ ΚΤ-6
NDM@IC3@SIO7@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.17
NDM@IC6@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.10
NDM@IC1@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 2ος ΚΤ-1
NDM@IC1@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 1ος ΚΤ-1
NDM@IC3@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.1
NDM@IC6@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.11
NDM@IC4@SIO2@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ
NDM@IC4@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ
NDM@IC2@SIO3@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 7.1 2ος ΚΤ-2Κ
NDM@IC3@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R2.13
NDM@KILIKIO	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, R1a
BIB@R1	IN	ΚΕΝΤΡΙΚΗ ΒΙΒΛΙΟΘΗΚΗ, ΕΙΣΟΔΟΣ, R1a
NDM@IC7@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ R3.21
NDM@IC4@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ R3.4
NDM@IC2@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Ο.Τ.Ε Α' ΙΣ ΚΤ-2
NDM@IC2@SIO7@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 6.2 1ος ΚΤ-2Κ
NDM@IC3@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.14
NDM@IC5@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R4.10
NDM@IC4@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.1
NDM@IC1@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-1
NDM@IC7@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΠΛΥΝΤΗΡΙΑ
NDM@IC3@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.15
NDM@IC3@SIO4@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.1
NDM@IC2@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.1 3ος ΚΤ-2Κ
NDM@IC4@SIO1@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.2 3ος ΚΤ-4
NDM@IC6@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΝΕΜΙΣΤΗΡΕΣ R2.10
NDM@IC5@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.11
NDM@EPIXIR	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, R1a
NDM@IC7@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΜΗΧΑΝΟΣΤΑΣΙΟ
NDM@IC5@SIO4@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 4.13 Α'ΙΣ ΚΤ-4
NDM@IC7@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ Β'ΙΣ. ΚΤ-6
NDM@IC7@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R3.20
NDM@IC6@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.7
KIS@R1	IN	ΚΕΝΤΡΟ ΙΣΤΟΡΙΑΣ, ΕΞΟΔΟΣ, R1a
NDM@IC6@SIO7@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R1.5
NDM@IC2@SIO8@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.2 1ος ΚΤ-2Κ
NDM@IC3@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R2.15
NDM@IC5@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΕΡΓΑΣΤΗΡΙΟ
NDM@IC7@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.9
NDM@IC1@SIO5@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.3 Β' ΙΣ. ΚΤ-1
NDM@IC5@SIO7@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 4.13 Α'ΙΣ ΚΤ-4
NDM@IC4@SIO1@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 7.3 2ος ΚΤ-4
NDM@IC1@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΡΧΕΙΟ Α' ΥΠ ΚΤ-1
NDM@IC7@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.19
NDM@IC2@SIO3@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 2ος ΚΤ-2
NDM@IC8@SIO1@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 6.1 1ος ΚΤ-2
NDM@IC1@SIO7@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ Α' ΥΠ 3.30
NDM@IC2@SIO4@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 1ος ΚΤ-2
NDM@IC6@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R2.13
NDM@IC2@SIO1@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 9.1 4ος ΚΤ-2Κ
NDM@IC1@SIO1@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 9.2 4ος ΚΤ-1
NDM@IC7@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ
NDM@IC3@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΔΙΑΔΡΟΜΟΣ R1.16
NDM@IC5@SIO6@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.16
NDM@IC3@SIO8@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R2.14
NDM@IC8@SIO5@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 8.1 3ος ΚΤ-2Κ
NDM@IC1@SIO8@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡ. Α' ΥΠ. 3.29
NDM@IC8@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 9.2 4ος ΚΤ-1
NDM@IC2@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 4ος ΚΤ-2
NDM@IC2@SIO2@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 3ος ΚΤ-2
NDM@IC4@SIO5@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΛΙΜΑΤΙΣΜΟΣ R3.6
NDM@IC1@SIO2@R2	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 8.3 3ος ΚΤ-1
NDM@IC2@SIO8@R1	IN	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΙΣΟΔΟΣ, 5.2 Β' ΙΣ. ΚΤ-2K
NDM@IC8@SIO4@R1	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.2 Β'ΙΣ. ΚΤ-2
NDM@IC4@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ ΤΠΕ
NDM@IC1@SIO1@R1	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, Η/Μ 4ος  ΚΤ-1
NDM@IC5@SIO6@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ R3.14
NDM@IC5@SIO5@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΚΛΙΜΑΤΙΣΜΟΣ R3.1
NDM@IC2@SIO5@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 5.1 Β' ΙΣ. ΚΤ-2
NDM@IC8@SIO5@R2	OUT	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΕΞΟΔΟΣ, 9.1 4ος ΚΤ-2Κ
NDM@IC3@SIO2@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΓΚΑΡΑΖ R3.2
NDM@IC4@SIO3@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΑΠΟΘΗΚΗ
NDM@IC5@SIO1@R2	ACCESS	ΔΗΜΑΡΧΙΑΚΟ ΜΕΓΑΡΟ, ΠΡΟΣΒΑΣΗ, ΜΗΧΑΝΟΣΤΑΣΙΟ
